Type,Row Labels,Balloon,Fishing,Hard Plastic,Other,Soft Plastic,Black,Blue,Brown,Clear,Green,Grey,Orange,Red,White,Yellow,Species,Scientific Name,Family,Order,Habitat,Feeding
Bird,173,2,0,5,0,1,0,1,1,0,0,0,0,2,3,1,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,174,2,0,2,0,0,0,3,0,0,0,0,0,1,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,206,1,0,12,0,0,4,1,4,0,0,0,0,0,1,3,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,207,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,260,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,321,1,0,6,5,0,1,1,4,0,0,0,0,0,1,5,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,403,0,0,6,0,0,1,0,1,1,1,0,0,0,1,1,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Shy Albatross,Thalassarche cauta,Diomedeiadae,Procellariiformes,Pelagic,Surface feeding
Bird,355,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,Silver Gull,Chroicocephalus novaehollandiae,Laridae,Charadriiformes,Coastal beach,Pick from beach
Bird,121,0,0,8,0,1,1,0,2,0,0,0,0,0,6,0,Slender Billed Prion,Pachyptila belcheri,Procellariidae,Procellariiformes,Pelagic,Flight feeding
Bird,299,2,0,8,2,0,0,4,3,0,0,0,1,2,2,0,Slender Billed Prion,Pachyptila belcheri,Procellariidae,Procellariiformes,Pelagic,Flight feeding
Bird,108,1,0,24,0,0,0,0,0,2,0,0,0,0,19,4,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,175,1,0,4,0,0,0,0,0,0,0,0,0,4,1,0,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,351,0,0,9,0,0,1,0,6,0,0,0,0,0,2,0,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,41,0,0,9,0,0,0,0,1,3,2,0,0,0,3,0,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,47,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,53,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Bird,116,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,Westland Black Petrel,Procellaria westlandica,Procellariidae,Procellariiformes,Pelagic,Surface feeding
Trawl,1,0,0,0,4,2,1,2,0,1,1,1,0,0,0,0,,,,,,
Trawl,2,0,0,2,2,2,1,1,0,1,1,0,0,0,2,0,,,,,,
Trawl,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,,,,,,
Trawl,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,
Trawl,5,0,0,3,3,4,1,4,0,0,1,0,0,0,3,1,,,,,,
Trawl,6,0,0,3,1,0,1,0,0,0,0,0,0,0,3,0,,,,,,
Trawl,7,0,0,5,0,4,0,1,0,0,2,0,0,0,3,3,,,,,,
Trawl,8,0,0,1,1,4,2,3,0,0,1,0,0,0,0,0,,,,,,
Trawl,9,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,
Trawl,10,0,0,1,0,3,0,0,0,1,1,0,0,1,1,0,,,,,,
Trawl,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,
Trawl,12,0,0,9,1,3,0,3,0,1,0,0,0,0,9,0,,,,,,
Trawl,13,0,0,3,0,8,0,6,0,2,2,0,0,0,1,0,,,,,,
Trawl,14,0,0,0,6,2,8,0,0,0,0,0,0,0,0,0,,,,,,
Trawl,15,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,,,,,,
Trawl,16,0,0,1,4,1,1,0,0,0,0,0,0,0,4,0,,,,,,
Trawl,17,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,,,,,,
Trawl,18,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,,,,,
Trawl,19,0,0,35,0,7,0,7,0,11,0,1,0,1,22,0,,,,,,
Trawl,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,
Trawl,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,
Trawl,22,0,0,2,1,1,1,0,1,0,0,0,0,0,2,0,,,,,,
Trawl,23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,
Trawl,24,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,,,,,,
Trawl,25,0,0,10,4,1,0,3,3,0,5,0,0,0,4,0,,,,,,
Trawl,26,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,,,,,,
Trawl,27,0,0,0,3,2,0,4,0,1,0,0,0,0,0,0,,,,,,
Trawl,28,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,,,,,,
Trawl,29,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
Trawl,30,0,0,1,2,5,0,5,0,0,0,0,0,0,3,0,,,,,,
Trawl,31,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,,,,,,
Trawl,32,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,,,,,,
Trawl,33,0,0,3,8,12,0,11,0,0,0,1,0,1,10,0,,,,,,
Trawl,34,0,0,1,2,9,0,4,0,1,0,0,0,2,4,1,,,,,,
Trawl,35,0,0,4,1,10,0,3,0,6,0,2,1,0,3,0,,,,,,
Trawl,36,0,0,0,0,6,0,5,0,0,0,0,0,0,1,0,,,,,,
Trawl,37,0,0,2,2,4,0,6,0,0,0,2,0,0,0,0,,,,,,
Trawl,38,0,4,1,0,2,5,1,0,1,0,0,0,0,0,0,,,,,,
Trawl,39,0,0,0,2,17,1,15,0,1,0,0,0,0,2,0,,,,,,
Trawl,40,0,1,7,2,19,1,19,0,1,0,0,1,1,6,0,,,,,,
Trawl,41,0,0,0,0,21,1,19,0,0,0,0,0,1,0,0,,,,,,
Trawl,42,0,0,4,1,2,2,1,0,2,0,0,0,0,0,2,,,,,,
Trawl,43,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,,,,,,
Trawl,44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
Trawl,45,0,0,16,4,0,0,2,0,4,1,0,0,0,13,0,,,,,,
Trawl,46,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,,,,,,
Trawl,47,0,4,2,1,2,1,1,0,0,6,0,0,0,1,0,,,,,,
Trawl,48,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,,,,,,
Trawl,49,0,0,1,0,3,0,3,0,0,0,0,0,0,1,0,,,,,,
Trawl,50,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
Trawl,51,0,1,3,2,0,0,0,0,2,0,0,0,0,3,0,,,,,,
Trawl,52,0,0,3,0,2,0,0,0,0,1,0,0,1,3,0,,,,,,
"*note: this is a cleaned dataset used for analysis in the paper: some of the single species samples were removed and not analysed, and some of the samples where debris was collected but degraded before it could be measured/categorised was also not included. ",,,,,,,,,,,,,,,,,,,,,,
