Type,Species,Scientific Name,Family,Order,Habitat,Feeding,Plastic type,Plastic_no
Bird,Slender Billed Prion,Pachyptila belcheri,Procellariidae,Procellariiformes,Pelagic,Flight feeding,Balloon,2
Bird,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,1
Bird,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,1
Bird,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,0
Bird,Westland Black Petrel,Procellaria westlandica,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Balloon,1
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,1
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
Trawl,NA,NA,NA,NA,NA,NA,Balloon,0
"*note: this is a cleaned dataset used for analysis in the paper: some of the single species samples were removed and not analysed, and some of the samples where debris was collected but degraded before it could be measured/categorised was also not included.",NA,NA,NA,NA,NA,NA,Balloon,NA
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Antarctic Prion,Pachyptila desolata,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding,Fishing,4
Bird,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding,Fishing,0
Bird,Australia Pelican,Pelecanus conspicillatus,Pelecanidae,Pelecaniformes,Coastal marine,Surface feeding,Fishing,0
Bird,Bullers Albatross,Thalassarche bulleri,Diomedeiadae,Procellariiformes,Pelagic,Surface feeding,Fishing,1
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,1
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,1
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fairy Prion,Pachyptila turtur,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,1
Bird,Fluttering Shearwater,Puffinus gavia,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fluttering Shearwater,Puffinus gavia,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Fluttering Shearwater,Puffinus gavia,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
